genome_id,maximum_training_ani
1280.10001,0.9978575402364044
1280.9975,0.9979491983796474
1280.11050,0.9937241800282589
1280.59264,0.9937722972167882
1280.59300,0.9935515174474854
1280.59364,0.9937722972167882
1280.59366,0.9935026478783929
1280.59537,0.993548298460454
1280.59543,0.9933807836385122
1280.59623,0.9936484881054535
1280.59649,0.9938846937176607
1280.15885,0.9980224566154596
1280.15890,0.9979039370056934
1280.15901,0.9977920804281665
1280.15893,0.9940329910242712
1280.25984,0.9938434645452293
1280.8106,0.9937622777236523
1280.8767,0.9939475348856294
1280.9895,0.994061873499319
1280.15903,0.9820388961922065
1280.15905,0.9820559756372025
1280.15908,0.9934784898917761
1280.15909,0.9934784898917761
1280.16548,0.9932568698632475
1280.30440,0.9934300650685546
1280.8198,0.9936711929652268
1280.8421,0.9939403972321285
1280.8708,0.9935529392507689
1280.19785,0.9926755313003474
1280.7962,0.9927309882382619
1280.26002,0.998891483953838
1280.51761,0.9988176196096843
1280.59390,0.998733498022813
1280.8093,0.9989641408410476
1280.8545,0.998882985996188
1280.8777,0.9987301896995602
1280.9976,0.998843737298178
1280.26061,0.9989857296692607
1280.8211,0.9991249729856875
1280.26079,0.999146029142284
1280.26085,0.9991703212023403
1280.26091,0.9991104617926393
1280.26100,0.9991882119941139
1280.26104,0.9991997440385326
1280.26106,0.9991763860218423
1280.26118,0.9991594005028751
1280.29806,0.9935208336256175
1280.30135,0.993797982910366
1280.30010,0.9986602837055275
1280.51924,0.9985924367822867
1280.30055,0.9987090413024314
1280.30115,0.9991155771662423
1280.30208,0.9989416537357575
1280.30300,0.9991282469885455
1280.30200,0.9987128053226915
1280.30219,0.998824547091986
1280.59616,0.9988744498433973
1280.59663,0.9989675731773311
1280.51883,0.9987728729967378
1280.51887,0.9987950695937453
1280.51896,0.9989213731461528
1280.51919,0.9948221493667492
1280.59394,0.9989586969850447
1280.59399,0.9989586969850447
1280.59569,0.9989765648880738
1280.59594,0.9989706077839996
1280.59600,0.9974439140911067
1280.59718,0.9973653093992045
1280.59860,0.9973299938030272
1280.7928,0.9983045125097373
1280.8384,0.9984255900025057
1280.9898,0.9985697584040688
1280.8118,0.991793478398737
1280.9947,0.9917876997940415
